"Company","Country","Month","Year","Classification","Keywords","Website","Funding Amount","Funding Type","Investors"
"Phenomic AI ","Canada","Oct","2020","Healthcare Analytics","AI/ML Platform, Tumor stroma","http://www.phenomic.ai/","$6 Million","Series A","CTI Life Sciences Fund and joined by AV8 Ventures, Luminous Ventures, and Viva BioInnovator. Current investors, Garage Capital, Hike Ventures, and Cantos Ventures"
"Capillary Biomedical ","USA","Oct","2020","Medical Devices","insulin infusion, extended-wear SteadiFlow technology","https://www.capillarybio.com/","$1.5 Million","Grant Funding","Helmsley Charitable Trust"
"TCRyption Inc.","USA","Oct","2020","Early Stage Biotech","T cell therapy, oncology, cancer","https://tiobioventures.com/","$10 Million","Seed","TIO Bioventures"
"Newlight Technologies","USA","Oct","2020","Agri-Biotech","ocean-degradable biopolymer","https://www.newlight.com/","$45 Million","Series F","Valedor Partners, GrayArch Partners"
"Avail Medsystems","USA","Oct","2020","TeleMedicine","Procedural Telemedicine™ Technology, surgical experts, operating toom","https://avail.io/","$100 Million","Series B","D1 Capital, 8VC, Lux Capital, Coatue, Sonder Capital, Playground Global, Baidu Ventures, and Refractor Capital"
"R3 Vascular Inc.","USA","Oct","2020","Medical Devices","peripheral artery diseases (PAD), below-the-knee (BTK) interventional therapies, critical limb ischemia (CLI)","https://www.r3vascular.com/","$17.8 Million","Series A","415 CAPITAL, with participation from HBM-MedFocus LLC and Wexford Capital"
"Wise Therapeutics","USA","Oct","2020","Digital Health","mental health treatments,  Personal Zen, stress and anxiety","https://wisedtx.com/","$525,000 ","Seed","SeedLink SL, Teem Ventures"
"A2 Biotherapeutics","USA","Oct","2020","Early Stage Biotech","oncology, cancer, Tumor Cell Therapeutics, Tmod (T-cell module) platform","https://www.a2bio.com/","$71.5 Million","Series B","The Column Group, Vida Ventures, Samsara BioCapital, Nextech Invest, Casdin Capital, Euclidean Capital, UC Investments (Office of the Chief Investment Officer of the Regents) and Hartford HealthCare Endowment"
"Neocis","USA","Oct","2020","Medical Devices","Yomi, Robotic-Assisted Surgical System, dental surgery,  haptic robotic guidance, dental implantation","https://www.neocis.com/","$72 Million","Series D","DFJ Growth, with participation from Vivo Capital and existing investors Mithril Capital Management, Norwest Venture Partners, Section 32, and Fred Moll"
"MyBiotics Pharma Ltd.","Israel","Oct","2020","Early Stage Biotech","microbiome therapeutics, nicrobes, probiotics","https://mybiotics-pharma.com/","€2 Million ($2.3 Million)","Grant Funding","EU Horizon 2020 Fund"
"Araris Biotech","Switzerland","Oct","2020","Early Stage Biotech","antibody-drug conjugate (ADC)-linker technology, Araris ADC-linker platform","https://www.ararisbiotech.com/","CHF 12.7 Million","Seed","PureosBioventures, 4BIO Capital, btov Partners, Redalpine, VI Partners and Schroder Adveq"
"Scorpion Therapeutics","USA","Oct","2020","Early Stage Biotech","oncology,cancer, precision medicine, drug hunting engine, cancer genomics","https://www.scorpiontx.com/","$108 Million","Series A","Atlas Venture, Omega Funds, and Vida Ventures, with participation from Abingworth and Partners HealthCare Innovation. "
"Neuromod Devices","Ireland","Oct","2020","Medical Devices","Tinnitus Treatment Device, Lenire","https://www.neuromoddevices.com/","€10.5 Million","Series B","Fountain Healthcare Partners, Moffett Investment Holdings and Medical Device Resources, Kreos Capital and Silicon Valley Bank"
"Sirnaomics","USA","Oct","2020","Early Stage Biotech","RNAi therapeutics, oncology, cancer,  STP705 in squamous cell carcinoma in situ (isSCC), liver cancer","https://sirnaomics.com/","$105 Million","Series D","Rotating Boulder Fund, new investor Walvax Biotechnology Co. Ltd. and Sunshine Riverhead Capital"
"Lumos diagnostics","Australia","Oct","2020","Medical Diagnostics","COVID-19, FebriDx®, diagnostics,fingerstick blood test,  bacterial acute respiratory infections (ARI), COV-ID tests","https://lumosdiagnostics.com/","AU$ 25 Million","Series B","Perennial Value and Ellerston Capital"
"Be Biopharma","USA","Oct","2020","Early Stage Biotech","B-cell therapies, auto immune, cancer","https://www.be.bio/","$52 Million","Series A","Atlas Venture and RA Capital Management and joined by Alta Partners, Longwood Fund and Takeda Ventures, Inc."
"InCarda Therapeutics","USA","Oct","2020","Early Stage Biotech","paroxysmal atrial fibrillation (PAF), cardio vascular","https://incardatherapeutics.com/","$30 Million","Series C","Innoviva, Inc. ,Deerfield Management, HealthCap and Morningside Ventures."
"Allonnia","USA","Oct","2020","Agri-Biotech","Waste Remediation, Synthetic Biology","https://www.allonnia.com/","$40 Million","Series A","Ginkgo Bioworks, Battelle, General Atlantic, Cascade Investment, and Viking Global Investors"
"Erbi Biosystems","USA","Oct","2020","BioSystems"," platform of microfluidic bioprocess and bioreactor equipment, ultra-high cell density","https://erbi-bio.com/","$3.8 Million","Series A","Jaguar Biotech"
"Longboard Pharmaceuticals","USA","Oct","2020","Early Stage Biotech","CNS, neurology","https://www.longboardpharma.com/","$56 Million","Series A","Farallon Capital Management, LLC, and other top tier healthcare investors, including Cormorant Asset Management, HBM Healthcare Investments, Highside Capital Management, and T. Rowe Price Associates"
"LianBio","China","Oct","2020","Early Stage Biotech","oncology, cancer, cardiorenal","https://www.lianbio.com/","$310 Million","Series B","Perceptive Advisors, RA Capital, Venrock Healthcare Capital Partners and CMG-SDIC Capital"
"Oula","USA","Oct","2020","Misc","maternity, reproductive, prenatal","https://oulahealth.com/","$3.2 Million ","Seed","Collaborative Fund with participation from Female Founders Fund, 8VC, Metrodora, Kapor Capital, Rock Health, January Ventures, and Great Oaks "
"Diality","USA","Oct","2020","Medical Devices","Acute and Chronic Hemodialysis, portable system","https://www.diality.com/","$12.5 Million","Series B","Undisclosed"
"AbSci ","USA","Oct","2020","BioSystems","synthetic biology, Protein Printing™ technology","https://www.absci.com/","$65 Million","Series E","Casdin Capital,, Redmile Group and ArrowMark Partners, and other existing investors, including Phoenix Venture Partners"
"Prokarium","UK","Oct","2020","Early Stage Biotech","oncology, cancer, microbial immunotherapy ,r non-muscle invasive bladder cancer ","https://www.prokarium.com/","$21 Million","Series B","Korea Investment Partners (KIP). In addition to KIP, the UK government’s Future Fund (FF), Flerie Invest and Riyadh Valley Company (RVC)"
"Primmune Therapeutics","USA","Oct","2020","Early Stage Biotech","oncology, cancer, small molecule toll-like receptor 7 (TLR7) agonists","https://www.primmunerx.com/","$27.4 Million","Series A"," CAM Capital and Polaris Partners and included new investors Samsara BioCapital and Oberland Capital as well as existing investors McDermott, BioRock Ventures and BioBrit"
"ABM Respiratory Care","USA","Oct","2020","Medical Devices","Respiratory care","https://www.abmrespiratorycare.com/","$10.3 Million","Series A","Advanced MedTech Holdings, a global medical technology leader, and SEEDS Capital, the investment arm of Enterprise Singapore"
"Centrexion Therapeutics","USA","Oct","2020","Early Stage Biotech","non-opioid, non-addictive chronic pain drugs, osetoarthritis, diabetic neuropathy","https://centrexion.com/","$40.5 Million","Series B","Exome Asset Management, Lilly, Solar Capital Partners,
LLC"
"Journey Colab ","USA","Oct","2020","Early Stage Biotech","mental health, psychedelic treatments, Mescaline ","https://www.journeycolab.com/","$3 Million","Seed","Apollo Projects"
"Q32 Bio","USA","Oct","2020","Early Stage Biotech","Immune Homeostasis, IL-7R antibody ADX-914","https://www.q32bio.com/","$60 Million","Series B","OrbiMed Advisors and Acorn Bioventures"
"Advanced Chemotherapy Technologies, Inc.","USA","Oct","2020","Early Stage Biotech","oncology, cancer, ACT-IOP-003, pancreatic cancer","http://www.advancedchemotech.com/","$5.5 Million","Series A","Khosla Ventures"
"AavantiBio","USA","Oct","2020","Genomics/Gene Therapy","rare genetic diseases","https://www.aavantibio.com/","$107 Million","Series A","Perceptive Advisors, Bain Capital Life Sciences, RA Capital Management and Sarepta Therapeutics"
"Exer Labs","USA","Oct","2020","Digital Health","fitness platform , AI and computer vision platform","https://www.exer.ai/","$2 Million","Seed","GGV, Jerry Yang's AME Cloud Ventures, Morado Ventures, Range VC, Service Provider Capital, Shatter Fund"
"Sensei Biotherapeutics","USA","Oct","2020","Early Stage Biotech","oncology, cancer, personalized cancer drugs, SNS-301, bacteriophage","https://senseibio.com/","$28.5 Million","Series A","Cambrian Biopharma and H&S Ventures co-led the new financing round with the support of Future Ventures and Apeiron Investment Group"
"Priothera","USA","Nov","2020","Early Stage Biotech","AML, S1P receptor modulate, allogeneic hematopoietic stem cell transplantation, mocravimod","https://priothera.com/","€30 Million ($35 Million)","Series A","Fountain Healthcare Partners led the series A round with HealthCap. Funds managed by Tekla Capital Management and EarlyBird Venture Capital"
"SidekickHealth","USA","Nov","2020","Digital Health","diabetes, ulcerative colitis and smoking cessation, video gaming, digital health","https://sidekickhealth.com/","$20 Million","Series A","Wellington Partners and Asabys Partners, through its fund SAHII, Novator and Frumtak Ventures. "
"Kinaset Therapeutics","USA","Nov","2020","Early Stage Biotech","Respiratory Diseases","http://www.kinasettherapeutics.com/","$40 Million","Series A","5AM Ventures, Atlas Venture, and Gimv"
"Spotlight Therapeutics ","USA","Nov","2020","Early Stage Biotech","CRISPR Gene Editing Biologics, Targeted Active Gene Editors (TAGE), gene therapy","https://www.spotlighttx.com/","$30 Million","Series A","GV (Google Vetures)"
"D3 Bio","China","Nov","2020","Early Stage Biotech","oncology, immunology, precision medicine","https://www.d3bio.com/","$200 Million","Series A","Boyu Capital, Matrix Partners China, Sequoia Capital China, Temasek, and WuXi AppTec’s Corporate Venture Fund"
"Inmagene Biopharmaceuticals","USA","Nov","2020","Early Stage Biotech","immunology","http://www.inmagenebio.com/","$21 Million","Series B","Vertex Ventures China, and co-invested by Panacea Venture, Kunlun Capital, SCVC"
"Oblique Therapeutics","Sweden","Nov","2020","Early Stage Biotech","cancer, oncology, KRAS mutation, colorectal cancer, Apricot platform","https://obliquet.com/","98M SEK ($11.4M)","Series A","Västra Hamnen Corporate Finance"
"Shoulder Innovations","USA","Nov","2020","Medical Devices","shoulder replacement systems, glenoid technology fixation solution,anatomic shoulder arthroplasty, InSetTM glenoid","https://shoulderinnovations.com/","$21.6 Million","Series A","US Venture Partners,  Lightstone Ventures,  Alumni Venture Partners, Wakestream Ventures, Biosciences Research and Commercialization Center of Western Michigan University, Invest Michigan, and the Michigan Angel Fund"
"CARsgen Therapeutics","USA","Nov","2020","Early Stage Biotech","oncology, cancer, chimeric antigen receptor (CAR) T-cell therapeutics","http://www.carsgen.com/","$186 Million","Series C","Loyal Valley Capital and joined by Lilly Asia Ventures, Shiyu Capital, and Summer Capital. Existing investor South China Venture Capital"
"Massive Bio","USA","Nov","2020","Healthcare Analytics","oncology clinical trials, AI","https://massivebio.com/","$2.6 Million","Series A","Revo Capital, Cavendish Impact Foundation (CIF)"
"Human API","USA","Nov","2020","Digital Health","electronic health data","https://www.humanapi.co/","$20 Million","Series C","Samsung Ventures, CNO Financial Group, Allianz Life Ventures, and Moneta VC, as well as from existing investors BlueRun Ventures, SCOR Life and Health Ventures, and Guardian Life Insurance Company.

"
"Limaca Medical","Israel","Nov","2020","Medical Devices","precision medicine, biopsies, Precision™ biopsy device, histopathology and advanced genetic profiling","https://www.limaca-medical.com/","$1.25 Million","Series A","Trendlines, Agriline"
"Datavant","USA","Nov","2020","Healthcare Analytics","patient data","https://datavant.com/","$40 Million","Series B","Transformation Capital,  Johnson & Johnson Innovation - JJDC, Inc. and Cigna Ventures, Roivant Sciences and Flex Capital."
"Azura Ophthalmics","USA","Nov","2020","Early Stage Biotech","dry eye, ophthalmology, AZR-MD-001, meibomian glands, meibum, ointment, selenium disulfide","https://azuraophthalmics.com/","$20 Million","Series C","OrbiMed, TPG Biotech, Ganot Capital and Brandon Capital’s Medical Research Commercialisation Fund"
"Nurami Medical","Israel","Nov","2020","Medical Devices","post-surgical healing, ArtiFascia, intended for healing and repair of the dura following cranial neurosurgerybiodegradable, synthetic nanofibers, ","https://www.nurami-medical.com/","$6 Million","Series B","Almeda Ventures, Glenrock"
"Memo Therapeutics AG","Switzerland","Nov","2020","Early Stage Biotech","COVID-19, BK virus infection, kidney transplant, antibody discovery and immune repertoire analysis, ifectious disease, immuno-oncology","https://memo-therapeutics.com/home.html","CHF 14 Million","Series B","Swisscanto Invest by Zürcher Kantonalbank and included BERNINA BioInvest, as well as new private investors and existing investors Investiere, Schroder Adveq, Jaquet Partners, and Redalpine."
"Apollomics, Inc.","USA","Nov","2020","Early Stage Biotech","oncology , APL-106 (Uproleselan), selective c-MET inhibitor, E-selectin antagonist, AML, liquid tumors","https://www.apollomicsinc.com/","$124.2 Million","Series C","Ping An Capital"
"BrainTale","France","Nov","2020","Digital Health","quantification and prediction digital medical devices, brain injury, neurology, brainQuant, a SaaS solution providing brain lesion quantification from diffusion MRI (Magnetic Resonance Imaging)","https://www.braintale.fr/","€1 Million","Seed","Angels Santé, the instruction persuaded Paris Business Angels, Femmes Business Angels and Arts&Metiers Business Angels"
"Imago BioSciences","USA","Nov","2020","Early Stage Biotech","oncology, blood cancer, Bomedemstat , lysine specific demethylase 1 inhibitor (LSD1),myeloproliferative neoplasms","https://www.imagobio.com/","$80 Million","Series C","Rowe Price Associates, Inc., funds and accounts managed by Blackrock Advisors, LLC., Surveyor Capital, Irving Investors and Kingdon Capital Management. Existing investors also participating in the financing include a fund managed by Blackstone Life Sciences, Frazier Healthcare Partners, Omega Funds, Amgen Ventures, MRL Ventures Fund, HighLight Capital, Pharmaron Investments Ltd., Greenspring Associates and Xeraya Capital. The round was led by Farallon Capital Management. "
"Elevation Oncology","USA","Nov","2020","Early Stage Biotech","oncology, cancer, genomically defined cancers, precision medicine","https://elevationoncology.com/","$65 Million","Series B","venBio Partners and Cormorant Asset Management, with Participation by Boxer Capital of Tavistock Group, Janus Henderson, Samsara Biocapital, Vivo Capital, Aisling Capital, Vertex Ventures HC, Qiming Venture Partners USA, Driehaus Capital Management, and BVF Partners"
"Knopp Biosciences LLC ","USA","Nov","2020","Early Stage Biotech","epilepsy and neuroscience research","https://knoppbio.com/","$14 Million","Series C","Solas BioVentures"
"Nereid Therapeutics","USA","Nov","2020","Early Stage Biotech","biomolecular condensates, liquid-liquid phase separation (LLPS), drug discovery","https://www.nereidtx.com/","$50 Million","Series A","Apple Tree Partners (ATP)"
"Vapogenix","USA","Nov","2020","Early Stage Biotech","inflammation, topical non-opioid, lidocaine-free analgesics, pain","https://www.vapogenix.com/","$1.5 Million","Grant Funding","SBIR, NIH"
"Ambrx","USA","Nov","2020","Early Stage Biotech","oncology, cancer,Precision Biologics, antibody drug conjugates (ADCs), bispecifics, and targeted immuno-oncology therapies, cytokines, metabolic and cardiovascular disease","http://ambrx.com/","$200 Million","Crossover","Fidelity Management & Research Company LLC, funds and accounts managed by BlackRock, Cormorant Asset Management, HBM Healthcare Investments, Invus, Adage Capital Partners and Suvretta Capital Management"
"Prometheus Biosciences","USA","Nov","2020","Early Stage Biotech","inflammatory bowel disease (IBD),  PRA023, a potential best in class TL1A antibody for IBD","https://www.prometheusbiosciences.com/","$130 Million","Series B","Eventide, RTW, Perceptive Advisors, Cormorant Capital, Cowen Healthcare Investments and Point72"
"Trailhead Biosystems","USA","Nov","2020","BioSystems","complex biological problems, machine based science, combinatorial drug discovery in cancer and anti-viral therapies","https://www.trailbiosystems.com/","$6.6 Million","Series A","Entrepreneurship & Innovation Clinic at Yale Law School"
"Medable Inc.","USA","Nov","2020","Digital Health","digital clinical trials","https://www.medable.com/","$91 Million","Series C","Sapphire Ventures,  GSR Ventures, PPD, Inc. (Nasdaq:PPD) and Streamlined Ventures."
"Myricx Pharma","UK","Nov","2020","Early Stage Biotech","oncology, cancer, N-myristoyltransferase (NMT) inhibitors, drug discovery company","https://myricxpharma.com/","£4.5 Million","Seed"," Sofinnova Partners and Brandon Capital Partners"
"IniPharm","USA","Nov","2020","Early Stage Biotech","NASH, liver diseases, fatty liver disease, cirrhosis","https://inipharm.com/","$35 Million","Series A","5AM Ventures and Wu Capital joined existing investors Frazier Healthcare Partners and Jubilant Biosys Limited."
"Atai Life Sciences","USA","Nov","2020","Early Stage Biotech","psychedelic mental health treatments","https://www.atai.life/","$125 Million","Series C","Apeiron Investment Group,Catalio Capital Management,Future Ventures and Galaxy Investment Partners, as well as new investors including Falcon Edge Capital and Pura Vida Pro, LLC"
"Elevian","USA","Nov","2020","Early Stage Biotech","stroke, age-related diseases,GDF11 (growth differentiation factor 11), parabiosis, regeneration","https://www.elevian.com/","$15 Million","Series A","Prime Movers Lab and involved the participation of Bold Capital Partners, For Good Ventures, Kizoo Ventures, Lauder Partners, Longevity Fund, SavEarth Fund, WTI "
"Rebus Biosystems, Inc.","USA","Nov","2020","BioSystems","Automated Spatial Omics Solution, tools, assays","https://www.rebusbio.com/","$20 Million","Series B","Illumina Ventures and joined by Lifecore Partners, Ncore Ventures, Xolon Invest, CTK Investments, Ray Co., Ltd., Seegene Medical Foundation, LabGenomics Co., Ltd., and Timefolio Asset Management."
"Noema Pharma","Switzerland","Dec","2020","Early Stage Biotech","orphan neurological disorders","https://noemapharma.com/","CHF 54 Million","Series A","Sofinnova Partners and Polaris Partners, Gilde Healthcare, Invus and BioMed Partners"
"Rubedo Life Sciences","USA","Dec","2020","Early Stage Biotech","oncology, idiopathic pulmonary fibrosis (IPF) and chronic obstructive pulmonary disease (COPD), respiratory","https://www.rubedolife.com/","$12 Million","Seed","Khosla Ventures, Longevity Fund, Refactor Capital, Shanda"
"SciNeuro Pharmaceuticals","China","Dec","2020","Early Stage Biotech","central nervous system (CNS) diseases, neurology","https://www.scineuro.com/","$100 Million","Series A","Lilly Asia Ventures Fund and Arch Venture Partners. They were joined by Boyu Capital, General Atlantic, Sequoia Capital China, TF Capital and Zoo Capital. "
"Basking Biosciences, Inc.","USA","Dec","2020","Early Stage Biotech","acute ischemic stroke (AIS), reversible thrombolytic therapy, DTRI-031, is an RNA aptamer, von Willebrand Factor (vWF)","https://www.baskingbiosciences.com/","$5.4 Million","Seed","Rev1 Ventures, Broadview Ventures and Viva BioInnovator"
"Cyrano Therapeutics","USA","Dec","2020","Early Stage Biotech","regenerative medicine, Chronic Smell and Flavor Loss, CYR-064","https://cyranotherapeutics.com/","$12.8 Million","Series A","Remiges Ventures and Lumira Ventures"
"Faze Medicines","USA","Dec","2020","Early Stage Biotech","Biomolecular Condensates, cell biology, myriad human diseases,  amyotrophic lateral sclerosis (ALS)","https://www.fazemed.com/","$81 Million","Series A","Third Rock Ventures with Novartis Venture Fund, Eli Lilly and Company, AbbVie Ventures, Invus, Catalio Capital Management, Casdin Capital and Alexandria Venture Investments "
"Rani Therapeutics","USA","Dec","2020","Medical Devices"," RaniPill , robotic pill, drug delivery","https://www.ranitherapeutics.com/","$69 Million","Series E","GV (the investment arm of Google parent company Alphabet), Novartis, AstraZeneca. Novartis"
"Pear Therapeutics","USA","Dec","2020","Digital Health","reSET and reSET-O , substance and opioid use, Somryst app for chronic sleeplessness","https://peartherapeutics.com/","$80 Million","Series D","Forth Management, Pilot House, Sarissa Capital, Shanda Group and QUAD Investment Management. In addition, Novartis—following various ties to the company over the past few years—alongside Temasek, 5AM Ventures, Arboretum Ventures, JAZZ Venture Partners, CrimsoNox and EDBI"
"CG Oncology","USA","Dec","2020","Early Stage Biotech","oncology, cancer, BCG-unresponsive, non-muscle invasive bladder cancer (NMIBC), oncolytic immunotherapy, CG0070","https://www.cgoncology.com/","$47 Million","Series D","Kissei Pharmaceutical with help from existing investors ORI Healthcare Fund, Camford Capital and Perseverance Capital Management"
"PepGen","USA","Dec","2020","Rare Disease"," Oligonucleotide Platform, Duchenne Muscular Dystrophy, Rare Neuromuscular and Cardiac Diseases, cell-penetrating peptide technology","https://pepgen.com/","$45 Million","Series A","Oxford Sciences Innovation, The University of Oxford, and CureDuchenne Ventures"
"Reneo Pharmaceuticals","USA","Dec","2020","Rare Disease","genetic mitochondrial diseases, Primary mitochondrial myopathies (PMM), Fatty acid oxidation disorders (FAOD), McArdle disease (also known as glycogen storage disease type 5)","https://reneopharma.com/","$95 Million","Series B","Novo Ventures and Abingworth, New Enterprise Associates, RiverVest Venture Partners, Pappas Capital, and Lundbeckfonden Ventures, as well as new investors Rock Springs Capital, Aisling Capital, Amzak Health"
"Qu Biologics","USA","Dec","2020","Early Stage Biotech","Site Specific Immunomodulators (SSI), immunotherapies, inflammatory bowel disease, cancer, inflammatory lung disease and arthritis","https://www.qubiologics.com/","$8 Million","Series A","Undisclosed"
"Remix Therapeutics ","USA","Dec","2020","Early Stage Biotech","REMaster technology platform, RNA processing, cancer, rare diseases","https://www.remixtx.com/","$81 Million","Series A","Foresite Capital with participation from seed investors Atlas Venture and The Column Group. Additional investors joining the financing included Arch Venture and Alexandria Venture Investments"
"Edgewise Therapeutics","USA","Dec","2020","Early Stage Biotech","Muscular Dystrophy Program, rare muscle disease, Becker muscular dystrophy, EDG-5506","https://edgewisetx.com/","$95 Million","Series C","Viking Global Investors, Henderson Investors, Surveyor Capital (a Citadel company), RA Capital Management, Cormorant Asset Management, Logos Capital and Wellington Management"
"RayzeBio","USA","Dec","2020","Early Stage Biotech","radio biopharma, raido isotopes, oncology, cancer","https://rayzebio.com/","$105 Million","Series C","Venrock Healthcare Capital Partners (VHCP) alongside new investors OrbiMed, Redmile Group, Viking Global Investors, Logos Capital, Cormorant Asset Management, LifeSci Venture Partners, Alexandria Venture Investments "
"BRAINBox Solutions","USA","Dec","2020","Medical Diagnostics","Concussion Diagnostic/Prognostic Test, BRAINBox TBI (Traumatic Brain Injury) Test","https://brainboxinc.com/","$23 Million","Series A","BioVentures Investors, Tauber Foundation, the Virginia Tech Carilion Innovation and Seed Funds, Genoa VC, Pharmakon Holdings LLC, Astia Angels"
"Freespira","USA","Dec","2020","Digital Health","digital therapeutics, panic attacks, panic disorder and post-traumatic stress disorder (PTSD) ","https://freespira.com/","$10 Million","Series A","Lightspeed Venture Partners. Aphelion Capital, Medvest Capital, and Freespira Chairman, Russell Siegelman"
"Nuance Pharma","China","Dec","2020","Early Stage Biotech","iron deficiency, pain management and respiratory","http://www.nuancebiotech.com/en/","$181 Million","Series D","RTW Investments, LP, and GT Fund, CBC Group, Matrix Partners China and HBM Healthcare Investments"
"Exo Therapeutics","USA","Dec","2020","Early Stage Biotech","ExoSight platform, exosite drugs, structural and computational biology, protein engineering, and DNA-encoded libraries","","$25 Million ","Series A","Newpath Partners, Novartis Venture Fund, CRV and 6 Dimensions Capital"
"Kinomica","USA","Dec","2020","Medical Diagnostics","protein phosphorylation patterns, mass spectrometry, AML test, drug midostaurin","https://www.kinomica.com/","£3.9 Million ($5.1 Million)","Seed","BGF and Longwell Venture Partners each invested £1.5 million. The additional £900,000 was secured from seed investors including BioCity, Alderley Park Ventures, and Puffin Point"
"LocanaBio","USA","Dec","2020","Genomics/Gene Therapy","RNA-Targeted Gene Therapies,  neurodegenerative, neuromuscular and retinal diseases, Huntington's disease, myotonic dystrophy type 1, genetic forms of amyotrophic lateral sclerosis and retinal disease","https://locanabio.com/","$100 Million","Series B","Vida Ventures LLC with participation from RA Capital Management, Invus, Acuta Capital Partners, an investment fund associated with SVB Leerink Prior Locanabio investors ARCH Venture Partners, Temasek, Lightstone Ventures, UCB Ventures and GV"
"Singlera Genomics","USA","Dec","2020","Medical Diagnostics","pan-cancer early screening, oncology, cancer","https://singleraoncology.com/","$150 Million","Series B","CICC Kai Tak Innovative Biomedicine Fund, and co-led by Detong Capital and Furong Investment. The new group of investors also include Huamei International, Linden Asset Group, Wuxi Capital, FutureX Skyline Capital, Shanghai Free Trade Zone Fund, and initial investors from the Series A round such as Greenpine Capital, Prosperico Ventures, and Proxima Ventures "
"Naveris","USA","Dec","2020","Medical Diagnostics","Blood Tests for Early Detection of HPV and Other Viral-Related Cancers","https://naveris.com/","$19 Million","Series A","Gurnet Point Capital joined by R-Cubed Capital Partners and Sky Ventures Group"
"Octave Bioscience","USA","Dec","2020","Digital Health","care management, neurodegenerative diseases starting with multiple sclerosis (MS)","https://www.octavebio.com/","$32 Million","Series B","Northpond Ventures, Deerfield Management and Casdin Capital, The Blue Venture Fund, Echo Health Ventures and Section 32"
"Clarity Pharmaceuticals","Australia","Dec","2020","Early Stage Biotech","personalixed medicine, radiopharmaceuticals, Cu-64/Cu-67 SARTATE Neuroblastoma, SAR-Bombesin, Cu-64 BOmbesin in Breast CAncer Trial, SAR-bisPSMA, SAR Technology Platform, rare peditric","https://www.claritypharmaceuticals.com/","$25 Million","Series A",""
"dMed","USA","Dec","2020","Misc","CRO,  consulting, regulatory affairs & strategy, early clinical development, clinical science & medical affairs, clinical operations, biostatistics & programming, data management, drug safety & pharmacovigilance, quality assurance and information solutions","http://www.dmedglobal.com/","$100 MIllion","Series C","Fidelity Management & Research Company, LLC, new investors in dMed include Sequoia Capital China, Kaiser Foundation Hospitals and E Fund., Qiming Venture Partners, Lilly Asia Ventures, and Vivo Capital"
